84,13
58,41
7,82
63,76
92,87
37,88
53,37
1,94
100,64
27,39
23,53
11,21
66,5
55,56
84,48
2,90
29,82
59,46
94,85
35,26
6,16
33,56
92,68
56,29
41,40
28,22
27,11
35,70
30,27
82,87
79,59
48,68
98,20
22,16
41,80
95,31
80,16
86,23
5,17
60,9
100,57
76,13
14,82
76,94
30,83
20,15
3,49
27,26
59,33
47,2
82,57
99,39
95,14
58,28
92,99
59,2
4,43
99,55
96,13
69,13
16,92
79,78
41,93
93,3
94,94
92,56
32,92
90,88
5,88
48,13
71,66
93,6
15,54
87,46
14,67
4,34
60,12
41,25
46,93
49,64
15,53
40,53
71,7
78,88
94,22
58,69
31,3
45,95
94,56
8,100
30,91
47,44
40,44
56,81
79,35
90,98
60,34
8,8
77,73
83,10
